"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1625","Если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Sun Apr 20 00:16:57 MSK 2025","passed","Sun Apr 20 00:16:59 MSK 2025","TestOrderFeed","test_order_feed","",""
"","42455","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Sun Apr 20 00:17:34 MSK 2025","broken","Sun Apr 20 00:18:17 MSK 2025","TestOrderFeed","test_order_feed","",""
"Переход по клику на «Лента заказов»","184","test_click_order_feed[chrome]","tests","Sun Apr 20 00:14:42 MSK 2025","passed","Sun Apr 20 00:14:42 MSK 2025","TestMainPage","test_main_page","",""
"При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","741","test_check_ingredient_counter[chrome]","tests","Sun Apr 20 00:15:57 MSK 2025","passed","Sun Apr 20 00:15:57 MSK 2025","TestMainPage","test_main_page","",""
"Заказ авторизованным пользователем","895","test_check_order_auth[firefox]","tests","Sun Apr 20 00:16:34 MSK 2025","passed","Sun Apr 20 00:16:35 MSK 2025","TestMainPage","test_main_page","",""
"","1589","Проверить страницу восстановления пароля, после введения почты","tests","Sun Apr 20 00:21:13 MSK 2025","passed","Sun Apr 20 00:21:15 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
"","10157","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Sun Apr 20 00:17:08 MSK 2025","passed","Sun Apr 20 00:17:18 MSK 2025","TestOrderFeed","test_order_feed","",""
"","285","Переход по клику на «Личный кабинет»,","tests","Sun Apr 20 00:13:42 MSK 2025","passed","Sun Apr 20 00:13:43 MSK 2025","TestProfile","test_account_profile","",""
"Заказ авторизованным пользователем","1025","test_check_order_auth[chrome]","tests","Sun Apr 20 00:16:22 MSK 2025","passed","Sun Apr 20 00:16:23 MSK 2025","TestMainPage","test_main_page","",""
"","692","Переход по клику на «Личный кабинет»,","tests","Sun Apr 20 00:13:30 MSK 2025","passed","Sun Apr 20 00:13:31 MSK 2025","TestProfile","test_account_profile","",""
"","315","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Sun Apr 20 00:21:07 MSK 2025","passed","Sun Apr 20 00:21:07 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
"","2050","Клик по кнопке показать/скрыть пароль делает поле активным","tests","Sun Apr 20 00:21:41 MSK 2025","passed","Sun Apr 20 00:21:44 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
"","7300","После оформления заказа его номер появляется в разделе В работе","tests","Sun Apr 20 00:20:02 MSK 2025","passed","Sun Apr 20 00:20:10 MSK 2025","TestOrderFeed","test_order_feed","",""
"Если кликнуть на ингредиент, появится всплывающее окно с деталями","569","test_click_ingredient_check_window[firefox]","tests","Sun Apr 20 00:15:19 MSK 2025","passed","Sun Apr 20 00:15:20 MSK 2025","TestMainPage","test_main_page","",""
